query_band,source_id,survey,source_url,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,154129179,2459295.7962889853,59295.291794,13.4105377,0.0146579575,4096,zg,166.1138355,38.2088529,0.404000014,0.00499999989,20210322291794,713,0x3,0x1,20.5799999,26.3456364,0.036849089,-0.0624397025,6.79712539e-05,30,1.00800002,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,154324288,2459297.7472911915,59297.2428819,13.4187717,0.0146517642,4096,zg,166.1138223,38.2088625,0.474999994,0.00600000005,20210324242882,713,0x3,0x1,20.2999992,26.3516712,0.0397160389,-0.0934514552,9.09353257e-05,30,1.028,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,154632587,2459300.83014378,59300.3258796,13.3491249,0.0147047434,4096,zg,166.1138396,38.2088473,0.234999999,0.00200000009,20210327325868,713,0x3,0x1,19.5200005,26.3895893,0.0428139046,-0.0714754313,0.00018587985,30,1.04299998,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,154832489,2459302.829059718,59302.3248958,13.395752,0.0146691268,4096,zg,166.1138411,38.2088591,0.495000005,0.0810000002,20210329324896,713,0x3,0x1,20.3299999,26.4136848,0.0413626358,-0.0684750676,0.000100859739,30,1.04999995,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155021773,2459304.7217961433,59304.2177315,13.4082937,0.0146596497,4096,zg,166.1138461,38.2088585,0.449999988,0.0299999993,20210331217720,713,0x3,0x1,20.9699993,26.3575077,0.033622358,-0.0693171099,5.07396871e-05,30,1.03499997,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155230181,2459306.805767664,59306.3018171,13.2888746,0.0147516159,4097,zg,166.113855,38.2088387,1.10500002,0.057,20210402301817,713,0x3,0x1,21.7900009,26.3783531,0.028170336,-0.083417289,3.33754979e-05,30,1.03400004,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155230275,2459306.8067051107,59306.3027546,13.3035545,0.0147401094,4096,zg,166.1138507,38.2088493,0.912999988,-0.0189999994,20210402302755,713,0x3,0x1,21.7399998,26.3841419,0.0281206947,-0.0975773707,3.33034259e-05,30,1.03499997,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155328200,2459307.7858975204,59307.2820023,13.3062744,0.0147379842,4097,zg,166.1138601,38.208863,0.397000015,0.0160000008,20210403282002,713,0x3,0x1,21.8299999,26.4249859,0.0242369492,-0.0865920037,2.45428546e-05,30,1.01800001,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155434185,2459308.8456860576,59308.3418519,13.3109617,0.014734325,4096,zg,166.1138574,38.2088564,0.389999986,0.0179999992,20210404341840,713,0x3,0x1,21.2700005,26.0461483,0.0373920985,-0.104890183,6.23319502e-05,30,1.11899996,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155517437,2459309.67816036,59309.174375,13.3580751,0.0146978609,4096,zg,166.1138498,38.2088521,0.342999995,0.0270000007,20210405174375,713,0x3,0x1,21.7900009,26.3635826,0.0258159824,-0.0885191485,2.82798646e-05,30,1.08399999,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155626290,2459310.7666255413,59310.2629051,13.3644629,0.0146929622,4096,zg,166.1138627,38.2088488,0.412999988,0.0199999996,20210406262859,713,0x3,0x1,21.8999996,26.391592,0.0290714297,-0.0929329321,3.60137747e-05,30,1.01100004,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155626384,2459310.767562985,59310.2638426,13.3699398,0.0146887712,4096,zg,166.1138597,38.2088499,0.305999994,0.023,20210406263843,713,0x3,0x1,21.8999996,26.4060841,0.0277170502,-0.10654182,3.28373535e-05,30,1.01199996,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155722438,2459311.7280486436,59311.2243866,13.3226109,0.0147252548,4096,zg,166.1138551,38.208848,0.610000014,0.0299999993,20210407224375,713,0x3,0x1,21.7199993,26.3626556,0.0295812525,-0.104859501,3.70707567e-05,30,1.01300001,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155824380,2459312.7474069814,59312.2438079,13.2980194,0.014744442,4096,zg,166.1138546,38.2088443,0.522000015,0.0260000005,20210408243785,713,0x3,0x1,21.5200005,26.4407177,0.0319308378,-0.100941591,4.31637673e-05,30,1.00800002,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155824474,2459312.7483444223,59312.2447454,13.2735405,0.0147636943,4096,zg,166.1138462,38.2088468,0.270000011,0.0120000001,20210408244745,713,0x3,0x1,21.3899994,26.4261951,0.0332068987,-0.0946934149,4.75787056e-05,30,1.00800002,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,155923642,2459313.739960356,59313.2364236,13.3449974,0.0147079248,4097,zg,166.1138591,38.2088547,0.416000009,0.0149999997,20210409236424,713,0x3,0x1,21.8799992,26.4049549,0.0284082163,-0.0994138271,3.390856e-05,30,1.00800002,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,156024391,2459314.7473844923,59314.243912,13.3356581,0.0147151388,4097,zg,166.1138609,38.2088492,1.10300004,0.0370000005,20210410243900,713,0x3,0x1,22.0799999,26.4285412,0.0284047611,-0.0945288762,3.35399527e-05,30,1.00899994,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,156024484,2459314.7483219323,59314.2448495,13.3474226,0.0147060547,4097,zg,166.113854,38.2088435,0.83099997,0.0320000015,20210410244850,713,0x3,0x1,22.0699997,26.4333839,0.0264101438,-0.107493907,2.92455006e-05,30,1.00899994,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,156232938,2459316.832722908,59316.3293866,13.433404,0.0146408053,4096,zg,166.1138678,38.2088548,0.739000022,0.0540000014,20210412329387,713,0x3,0x1,21.9099998,26.3668785,0.0277971085,-0.0990837291,3.34440992e-05,30,1.14600003,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,156526993,2459319.7730680997,59319.2699306,13.4754362,0.0146096693,4096,zg,166.1138571,38.2088701,0.963999987,0.00100000005,20210415269931,713,0x3,0x1,20.5699997,26.3839684,0.0398339331,-0.0694176704,7.84318472e-05,30,1.03799999,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,156819709,2459322.7000270225,59322.1970949,13.6119118,0.0145123163,4096,zg,166.1138451,38.2088495,0.409000009,0.0439999998,20210418197095,713,0x3,0x1,21.3199997,26.290987,0.0322278664,-0.0733513609,4.38600619e-05,30,1.01199996,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,157018665,2459324.689443669,59324.1866551,13.5985708,0.0145215672,4096,zg,166.1138475,38.2088367,1.10899997,0.063000001,20210420186655,713,0x3,0x1,21.2900009,26.3765945,0.0327490829,-0.0637058392,4.56163652e-05,30,1.01400006,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,157421824,2459328.720729387,59328.2182407,13.5835905,0.0145320278,4096,zg,166.1138414,38.2088465,0.386000007,-0.00899999961,20210424218241,713,0x3,0x1,20.4599991,26.4049397,0.0358036906,-0.0994135439,7.53229979e-05,30,1.01400006,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,157532187,2459329.8242796026,59329.321875,13.5886688,0.0145284729,4096,zg,166.1138661,38.2088611,0.492000014,0.0,20210425321840,713,0x3,0x1,19.9300003,26.3676357,0.0350612961,-0.0838407502,8.9305875e-05,30,1.25100005,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158020347,2459334.705496166,59334.2034722,13.4842453,0.0146032106,4097,zg,166.1138534,38.2088516,0.476000011,-0.00300000003,20210430203472,713,0x3,0x1,21.9799995,26.3899403,0.0241525155,-0.0867441595,2.43860068e-05,30,1.01499999,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158124633,2459335.7482718793,59335.246331,13.5056391,0.0145876203,4096,zg,166.1138512,38.2088497,0.326999992,0.00899999961,20210501246331,713,0x3,0x1,21.0799999,26.1602173,0.033202108,-0.0671527982,4.8909289e-05,30,1.07000005,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158224267,2459336.744534587,59336.2426736,13.5237875,0.0145745073,4096,zg,166.1138668,38.2088533,0.331,0.0130000003,20210502242674,713,0x3,0x1,21.7099991,26.3786373,0.0283642691,-0.0859862193,3.44859727e-05,30,1.06799996,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158224361,2459336.7454720107,59336.2436111,13.5281839,0.0145713445,4096,zg,166.1138646,38.2088582,0.504999995,0.0179999992,20210502243611,713,0x3,0x1,21.7199993,26.3739738,0.0283557195,-0.0793564618,3.56886303e-05,30,1.07000005,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158419839,2459338.700093969,59338.1983912,13.6100321,0.0145136174,4096,zg,166.1138622,38.2088546,0.49000001,0.0350000001,20210504198391,713,0x3,0x1,21.8799992,26.3624649,0.0272849239,-0.076014623,3.07384034e-05,30,1.01800001,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158419931,2459338.7010197933,59338.1993171,13.6171608,0.0145086935,4097,zg,166.1138545,38.2088495,0.83099997,0.0469999984,20210504199317,713,0x3,0x1,21.8700008,26.3946133,0.0270999148,-0.0988468155,3.09684074e-05,30,1.01900005,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158521708,2459339.718702953,59339.2170833,13.6549091,0.0144829135,4096,zg,166.1138618,38.2088483,1.12100005,0.0909999982,20210505217072,713,0x3,0x1,21.9599991,26.3474712,0.0240856353,-0.074587144,2.44863022e-05,30,1.03999996,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158619879,2459340.7003354453,59340.1987963,13.6282673,0.0145010576,4096,zg,166.113859,38.2088494,0.875999987,0.0489999987,20210506198796,713,0x3,0x1,21.9200001,26.3635139,0.0262376573,-0.0786208734,2.91860997e-05,30,1.023,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158619973,2459340.7012728676,59340.1997338,13.6299,0.014499939,4096,zg,166.1138656,38.2088582,0.693000019,0.0549999997,20210506199734,713,0x3,0x1,21.9200001,26.3800983,0.0273532178,-0.0875181928,3.14541576e-05,30,1.02400005,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158717486,2459341.6763198157,59341.1748611,13.5785437,0.0145355668,4096,zg,166.1138584,38.2088591,0.127000004,0.0140000004,20210507174861,713,0x3,0x1,21.7600002,26.378294,0.0300584007,-0.085800305,3.77246179e-05,30,1.00999999,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158824026,2459342.7416366925,59342.2402662,13.5935087,0.0145250941,4096,zg,166.1138738,38.2088517,0.368000001,0.00499999989,20210508240266,713,0x3,0x1,21.8299999,26.3703156,0.0307855774,-0.112274863,4.01904872e-05,30,1.097,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,158924315,2459343.7444467964,59343.2431597,13.6105175,0.0145132812,4096,zg,166.1138753,38.2088552,0.836000025,0.0419999994,20210509243160,713,0x3,0x1,21.8299999,26.3023052,0.0280158035,-0.094844915,3.29352406e-05,30,1.11099994,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,159025913,2459344.760334172,59344.2591319,13.6454067,0.0144893574,4096,zg,166.1138753,38.2088505,0.563000023,-0.00300000003,20210510259132,713,0x3,0x1,21.8799992,26.3503075,0.0270986203,-0.115063198,3.13534765e-05,30,1.16600001,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,159235332,2459346.8543482204,59346.3533218,13.6736612,0.0144702932,4096,zg,166.1138989,38.2088711,0.912999988,0.0649999976,20210512353310,713,0x3,0x1,21.2700005,26.1511879,0.0313199051,-0.0653109178,4.2392694e-05,30,1.87300003,3
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,159236986,2459346.8708861093,59346.3698611,13.6664248,0.0144751482,4096,zg,166.1138664,38.2088598,0.356000006,0.00600000005,20210512369850,713,0x3,0x1,21.0799999,26.0766659,0.0353764854,-0.0631600171,5.61321394e-05,30,2.12800002,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,159422537,2459348.726238873,59348.2253704,13.7238054,0.014437167,4096,zg,166.1138527,38.2088506,0.595000029,0.0289999992,20210514225370,713,0x3,0x1,21.9799995,26.3531914,0.0257652197,-0.0834658071,2.77238341e-05,30,1.10099995,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,159619499,2459350.6957014618,59350.195,13.6289883,0.0145005621,4096,zg,166.1138445,38.2088628,0.556999981,-0.00499999989,20210516195000,713,0x3,0x1,20.7600002,26.3430424,0.0348693058,-0.0731920674,5.98777588e-05,30,1.05200005,3
